Entry	Ensembl_Protein
Q92560	ENSP00000417132
Q9UJU6	ENSP00000417653
Q5TDH0	ENSP00000417748
H0Y847	ENSP00000417987
Q9NSK0	ENSP00000418031
E9PFF2	ENSP00000418340
C9J6P4	ENSP00000418385
P67775	ENSP00000418447
Q5VVJ2	ENSP00000418734
C9J0A7	ENSP00000418920
C9J0A5	ENSP00000418924
C9J013	ENSP00000418930
Q96D46	ENSP00000419004
H7C560	ENSP00000419060
C9JWE6	ENSP00000419250
F8WF45	ENSP00000419330
Q8N6N3	ENSP00000419417
Q9H8M2	ENSP00000419765
P49915	ENSP00000419851
C9JR83	ENSP00000420121
Q99442	ENSP00000420331
Q9UQR1	ENSP00000420335
Q9UJF2	ENSP00000420558
Q00059	ENSP00000420588
Q9UNL2	ENSP00000420641
H0Y8F2	ENSP00000420838
P22234	ENSP00000421096
E9PEM5	ENSP00000422180
D6R9X7	ENSP00000422827
P33981	ENSP00000422936
Q6R327	ENSP00000423019
Q96PY6	ENSP00000423332
D6RA28	ENSP00000423451
D6R9L5	ENSP00000423553
O96028	ENSP00000423972
E7ER40	ENSP00000425338
H0Y9Z8	ENSP00000425625
D6RF40	ENSP00000426004
E9PCY7	ENSP00000426275
H0YAB7	ENSP00000426587
Q96RT1	ENSP00000426632
H0YAC7	ENSP00000426682
P53999	ENSP00000426850
Q9P0K7	ENSP00000427123
E7EUR8	ENSP00000427260
Q9HCN4	ENSP00000427269
E7ETY2	ENSP00000427484
D6RHW3	ENSP00000427610
B9ZVT1	ENSP00000427729
A0A1C7CYX9	ENSP00000427985
Q14156	ENSP00000428086
P07948	ENSP00000428424
A0A0B4J210	ENSP00000428589
P06748	ENSP00000428755
Q71RC2	ENSP00000429077
A0A0B4J211	ENSP00000429213
H0YBM7	ENSP00000429852
P63208	ENSP00000429961
Q92769	ENSP00000430008
H0YBR8	ENSP00000430169
P48651	ENSP00000430548
O00203	ENSP00000430597
Q6WKZ4	ENSP00000430680
Q13884	ENSP00000431124
E9PMS6	ENSP00000431129
A0A0A6YYJ5	ENSP00000431179
E9PM92	ENSP00000431237
O94776	ENSP00000431346
Q86UU1	ENSP00000431508
Q8ND24	ENSP00000431643
Q9BWF3	ENSP00000432020
E9PRZ1	ENSP00000432216
O60716	ENSP00000354907,ENSP00000432623
H0YD16	ENSP00000432717
E9PPF2	ENSP00000432728
Q9Y2K7	ENSP00000432786
A7KAX9	ENSP00000432862
E9PMR3	ENSP00000432991
Q92667	ENSP00000433212
D3DQV9	ENSP00000433664
Q8NI35	ENSP00000433669
P42695	ENSP00000433681
H0YDJ3	ENSP00000433714
E9PJF4	ENSP00000433741
Q9Y2W1	ENSP00000433825
E9PIQ6	ENSP00000433952
E9PRB3	ENSP00000434261
Q92728	ENSP00000434702
H0YE05	ENSP00000434711
E9PNJ7	ENSP00000434759
H0YE74	ENSP00000435138
H0YEG1	ENSP00000435760
Q8N4C6	ENSP00000436092
E9PKI6	ENSP00000436216
H0YER1	ENSP00000436408
Q96JM7	ENSP00000436706
E9PLH8	ENSP00000437260
Q9C0C2	ENSP00000437271
Q9UI08	ENSP00000437904
H0YFD2	ENSP00000438000
P35221	ENSP00000438476
A0A0A0MTG6	ENSP00000438956
Q9UH62	ENSP00000439032
Q99700	ENSP00000439338
F5H269	ENSP00000439479
Q9Y4E1	ENSP00000439811
Q9UBC2	ENSP00000440103
F5GXL1	ENSP00000440181
O75822	ENSP00000440221
Q14839	ENSP00000440542
F5GXW1	ENSP00000440944
Q15233	ENSP00000441364
F5H8B7	ENSP00000442041
H0YG79	ENSP00000442111
O43719	ENSP00000442699
Q66PJ3	ENSP00000442718
P07910	ENSP00000442816
O00264	ENSP00000442821
P18858	ENSP00000442841
Q8NG08	ENSP00000443287
Q92574	ENSP00000444017
F5GZK9	ENSP00000444374
O95835	ENSP00000444678
G3V1T4	ENSP00000445567
Q14258	ENSP00000445961
P08670	ENSP00000446007
O60293	ENSP00000446995
Q8N5I9	ENSP00000447057
Q13765	ENSP00000447821
Q96EZ8	ENSP00000448056
F8VS66	ENSP00000448211
P05388	ENSP00000449328
Q9H0H5	ENSP00000449374
H7C5W9	ENSP00000449454
Q9H2H9	ENSP00000449607
F8VWH9	ENSP00000449800
F8VQZ9	ENSP00000450058
H0YIS4	ENSP00000450061
Q9H2J7	ENSP00000450145
O00429	ENSP00000450399
Q9UNS1	ENSP00000450607
P42167	ENSP00000450627
Q9ULT8	ENSP00000450697
O43166	ENSP00000450832
Q6IN85	ENSP00000450864
G3V340	ENSP00000451028
H0YJA2	ENSP00000451054
Q9Y385	ENSP00000451261
G3V3J0	ENSP00000451268
Q96JK2	ENSP00000451551
H0YJH7	ENSP00000451552
Q9HCK8	ENSP00000451601
G3V529	ENSP00000452145
Q13017	ENSP00000452222
Q9UN36	ENSP00000452306
G3V5E1	ENSP00000452307
Q147X3	ENSP00000452521
Q8IZ73	ENSP00000453036
H0YLX2	ENSP00000453376
A0A2U3TZL8	ENSP00000453386
P55010	ENSP00000453743
Q8IX15	ENSP00000453979
H0YNJ9	ENSP00000454041
Q8TBE0	ENSP00000454101
H3BMI8	ENSP00000454399
Q8NDT2	ENSP00000454545
H3BNT4	ENSP00000454996
P04075	ENSP00000455700
Q6PHR2	ENSP00000456051
H3BRD5	ENSP00000456192
H3BRU6	ENSP00000456412
Q8TEQ0	ENSP00000456480
H3BS42	ENSP00000456527
H3BSK8	ENSP00000456750
O95400	ENSP00000456935
Q9NQC7	ENSP00000457576
Q96K21	ENSP00000457617
Q99613	ENSP00000457963
I3L182	ENSP00000458647
Q99567	ENSP00000458954
Q13425	ENSP00000458999
I3L254	ENSP00000459390
Q8ND56	ENSP00000459843
Q68E01	ENSP00000459907
P49760	ENSP00000460443
I3L3Q8	ENSP00000460642
O76021	ENSP00000460871
I3L436	ENSP00000460940
I3L4D8	ENSP00000461181
I3L4U6	ENSP00000461535
J3KS35	ENSP00000462289
J3KSU7	ENSP00000462656
J3KSY7	ENSP00000462713
J3KSZ6	ENSP00000462726
J3QKY4	ENSP00000463292
O75396	ENSP00000463393
Q13045	ENSP00000463534
J3QQQ3	ENSP00000463839
J3QQW9	ENSP00000463936
P54578	ENSP00000464447
J3QSD7	ENSP00000464641
Q96SI1	ENSP00000464812
O14745	ENSP00000464982
O15446	ENSP00000465099
K7EKZ3	ENSP00000465846
K7EL01	ENSP00000465854
O60499	ENSP00000466298
K7EMR0	ENSP00000466610
Q3MHD2	ENSP00000466718
K7EQA1	ENSP00000467737
Q12906	ENSP00000404121,ENSP00000468156
Q8TDC3	ENSP00000468190
P54725	ENSP00000468674
Q9NPG3	ENSP00000468740
M0QX30	ENSP00000468866
M0QYL4	ENSP00000469908
Q13459	ENSP00000471457
Q9BW61	ENSP00000472171
Q15717	ENSP00000472197
Q9BUJ2	ENSP00000472629
P25205	ENSP00000472940
O43432	ENSP00000364071,ENSP00000473510
Q96T37	ENSP00000473638
S4R2Y4	ENSP00000473748
S4R359	ENSP00000473957
U3KQ48	ENSP00000475545
Q9Y2S7	ENSP00000475924
