Entry	Ensembl_Protein	isomap:M20200405A94466D2655679D1FD8953E075198DA823CF7DE	Entry name	Status	Organism	Length
Q9Y5L0	ENSP00000265388	ENSP00000265388 -> Q9Y5L0-2	TNPO3_HUMAN	reviewed	Homo sapiens (Human)	923
P31937	ENSP00000265395		3HIDH_HUMAN	reviewed	Homo sapiens (Human)	336
P36537	ENSP00000265403	ENSP00000265403 -> P36537-1	UDB10_HUMAN	reviewed	Homo sapiens (Human)	528
Q9ULZ2	ENSP00000265404		STAP1_HUMAN	reviewed	Homo sapiens (Human)	295
P06746	ENSP00000265421		DPOLB_HUMAN	reviewed	Homo sapiens (Human)	335
P05937	ENSP00000265431	ENSP00000265431 -> P05937-1	CALB1_HUMAN	reviewed	Homo sapiens (Human)	261
O60934	ENSP00000265433		NBN_HUMAN	reviewed	Homo sapiens (Human)	754
Q9NRC1	ENSP00000265437	ENSP00000265437 -> Q9NRC1-1	ST7_HUMAN	reviewed	Homo sapiens (Human)	585
O14948	ENSP00000265440	ENSP00000265440 -> O14948-1	TFEC_HUMAN	reviewed	Homo sapiens (Human)	347
P09544	ENSP00000265441		WNT2_HUMAN	reviewed	Homo sapiens (Human)	360
Q9P2S2	ENSP00000265459	ENSP00000265459 -> Q9P2S2-1	NRX2A_HUMAN	reviewed	Homo sapiens (Human)	1712
P30044	ENSP00000265462	ENSP00000265462 -> P30044-1	PRDX5_HUMAN	reviewed	Homo sapiens (Human)	214
Q14181	ENSP00000265465	ENSP00000265465 -> Q14181-1	DPOA2_HUMAN	reviewed	Homo sapiens (Human)	598
O94766	ENSP00000265471	ENSP00000265471 -> O94766-1	B3GA3_HUMAN	reviewed	Homo sapiens (Human)	335
P08319	ENSP00000265512	ENSP00000265512 -> P08319-1	ADH4_HUMAN	reviewed	Homo sapiens (Human)	380
Q13107	ENSP00000265560	ENSP00000265560 -> Q13107-1	UBP4_HUMAN	reviewed	Homo sapiens (Human)	963
Q9H3S7	ENSP00000265562		PTN23_HUMAN	reviewed	Homo sapiens (Human)	1636
P13861	ENSP00000265563	ENSP00000265563 -> P13861-1	KAP2_HUMAN	reviewed	Homo sapiens (Human)	404
Q15024	ENSP00000265564		EXOS7_HUMAN	reviewed	Homo sapiens (Human)	291
Q12770	ENSP00000265565	ENSP00000265565 -> Q12770-1	SCAP_HUMAN	reviewed	Homo sapiens (Human)	1279
P41145	ENSP00000265572	ENSP00000265572 -> P41145-1	OPRK_HUMAN	reviewed	Homo sapiens (Human)	380
P51788	ENSP00000265593	ENSP00000265593 -> P51788-1	CLCN2_HUMAN	reviewed	Homo sapiens (Human)	898
Q96RQ3	ENSP00000265594		MCCA_HUMAN	reviewed	Homo sapiens (Human)	725
Q9UQV4	ENSP00000265598		LAMP3_HUMAN	reviewed	Homo sapiens (Human)	416
Q9H2A2	ENSP00000265605	ENSP00000265605 -> Q9H2A2-1	AL8A1_HUMAN	reviewed	Homo sapiens (Human)	487
Q15166	ENSP00000265627		PON3_HUMAN	reviewed	Homo sapiens (Human)	354
P47972	ENSP00000265634		NPTX2_HUMAN	reviewed	Homo sapiens (Human)	431
P50416	ENSP00000265641	ENSP00000265641 -> P50416-1	CPT1A_HUMAN	reviewed	Homo sapiens (Human)	773
P22466	ENSP00000265643		GALA_HUMAN	reviewed	Homo sapiens (Human)	123
Q9UK99	ENSP00000265651	ENSP00000265651 -> Q9UK99-1	FBX3_HUMAN	reviewed	Homo sapiens (Human)	471
Q13488	ENSP00000265686	ENSP00000265686 -> Q13488-1	VPP3_HUMAN	reviewed	Homo sapiens (Human)	830
P35790	ENSP00000265689	ENSP00000265689 -> P35790-1	CHKA_HUMAN	reviewed	Homo sapiens (Human)	457
Q9Y3Q7	ENSP00000265707	ENSP00000265707 -> Q9Y3Q7-1	ADA18_HUMAN	reviewed	Homo sapiens (Human)	739
Q99965	ENSP00000265708	ENSP00000265708 -> Q99965-1	ADAM2_HUMAN	reviewed	Homo sapiens (Human)	735
P16157	ENSP00000265709	ENSP00000265709 -> P16157-21	ANK1_HUMAN	reviewed	Homo sapiens (Human)	1881
P31323	ENSP00000265717		KAP3_HUMAN	reviewed	Homo sapiens (Human)	418
O95620	ENSP00000265720	ENSP00000265720 -> O95620-1	DUS4L_HUMAN	reviewed	Homo sapiens (Human)	317
P21439	ENSP00000265723	ENSP00000265723 -> P21439-1	MDR3_HUMAN	reviewed	Homo sapiens (Human)	1286
Q9P0K1	ENSP00000265727	ENSP00000265727 -> Q9P0K1-1	ADA22_HUMAN	reviewed	Homo sapiens (Human)	906
Q9UBU7	ENSP00000265728	ENSP00000265728 -> Q9UBU7-1	DBF4A_HUMAN	reviewed	Homo sapiens (Human)	674
P30626	ENSP00000265729	ENSP00000265729 -> P30626-1	SORCN_HUMAN	reviewed	Homo sapiens (Human)	198
Q5RL73	ENSP00000265732	ENSP00000265732 -> Q5RL73-1	RBM48_HUMAN	reviewed	Homo sapiens (Human)	367
Q00534	ENSP00000265734		CDK6_HUMAN	reviewed	Homo sapiens (Human)	326
Q9P2G1	ENSP00000265742		AKIB1_HUMAN	reviewed	Homo sapiens (Human)	1089
Q9NQW6	ENSP00000265748	ENSP00000265748 -> Q9NQW6-1	ANLN_HUMAN	reviewed	Homo sapiens (Human)	1124
Q15056	ENSP00000265753	ENSP00000265753 -> Q15056-1	IF4H_HUMAN	reviewed	Homo sapiens (Human)	248
Q9UKQ2	ENSP00000265769	ENSP00000265769 -> Q9UKQ2-1	ADA28_HUMAN	reviewed	Homo sapiens (Human)	775
P51531	ENSP00000265773	ENSP00000265773 -> P51531-1	SMCA2_HUMAN	reviewed	Homo sapiens (Human)	1590
A0A0R4J2E2	ENSP00000265806		A0A0R4J2E2_HUMAN	unreviewed	Homo sapiens (Human)	440
Q9H788	ENSP00000265807	ENSP00000265807 -> Q9H788-1	SH24A_HUMAN	reviewed	Homo sapiens (Human)	454
Q9NQT6	ENSP00000265825	ENSP00000265825 -> Q9NQT6-1	FSCN3_HUMAN	reviewed	Homo sapiens (Human)	498
P24752	ENSP00000265838	ENSP00000265838 -> P24752-1	THIL_HUMAN	reviewed	Homo sapiens (Human)	427
Q8N336	ENSP00000265840	ENSP00000265840 -> Q8N336-1	ELMD1_HUMAN	reviewed	Homo sapiens (Human)	334
Q8NEV8	ENSP00000265843		EXPH5_HUMAN	reviewed	Homo sapiens (Human)	1989
P54278	ENSP00000265849	ENSP00000265849 -> P54278-1	PMS2_HUMAN	reviewed	Homo sapiens (Human)	862
Q7L5D6	ENSP00000265857	ENSP00000265857 -> Q7L5D6-1	GET4_HUMAN	reviewed	Homo sapiens (Human)	327
P31942	ENSP00000265866	ENSP00000265866 -> P31942-1	HNRH3_HUMAN	reviewed	Homo sapiens (Human)	346
Q8IX12	ENSP00000265872	ENSP00000265872 -> Q8IX12-1	CCAR1_HUMAN	reviewed	Homo sapiens (Human)	1150
Q9Y3B8	ENSP00000265881	ENSP00000265881 -> Q9Y3B8-1	ORN_HUMAN	reviewed	Homo sapiens (Human)	237
Q14534	ENSP00000265896		ERG1_HUMAN	reviewed	Homo sapiens (Human)	574
Q92543	ENSP00000265909	ENSP00000265909 -> Q92543-1	SNX19_HUMAN	reviewed	Homo sapiens (Human)	992
O60477	ENSP00000265922	ENSP00000265922 -> O60477-1	BRNP1_HUMAN	reviewed	Homo sapiens (Human)	761
Q9BPZ7	ENSP00000265960	ENSP00000265960 -> Q9BPZ7-1	SIN1_HUMAN	reviewed	Homo sapiens (Human)	522
P32780	ENSP00000265963	ENSP00000265963 -> P32780-1	TF2H1_HUMAN	reviewed	Homo sapiens (Human)	548
Q9UGK8	ENSP00000265965	ENSP00000265965 -> Q9UGK8-1	SRGEF_HUMAN	reviewed	Homo sapiens (Human)	458
Q9UPZ3	ENSP00000265967	ENSP00000265967 -> Q9UPZ3-1	HPS5_HUMAN	reviewed	Homo sapiens (Human)	1129
P48547	ENSP00000265969	ENSP00000265969 -> P48547-2	KCNC1_HUMAN	reviewed	Homo sapiens (Human)	511
O00443	ENSP00000265970	ENSP00000265970 -> O00443-1	P3C2A_HUMAN	reviewed	Homo sapiens (Human)	1686
Q8N612	ENSP00000265978	ENSP00000265978 -> Q8N612-2	F16A2_HUMAN	reviewed	Homo sapiens (Human)	972
Q8WVD5	ENSP00000265981	ENSP00000265981 -> Q8WVD5-1	RN141_HUMAN	reviewed	Homo sapiens (Human)	230
P02790	ENSP00000265983		HEMO_HUMAN	reviewed	Homo sapiens (Human)	462
P14735	ENSP00000265986	ENSP00000265986 -> P14735-1	IDE_HUMAN	reviewed	Homo sapiens (Human)	1019
O14981	ENSP00000265990	ENSP00000265990 -> O14981-1	BTAF1_HUMAN	reviewed	Homo sapiens (Human)	1849
Q68CQ7	ENSP00000266014	ENSP00000266014 -> Q68CQ7-1	GL8D1_HUMAN	reviewed	Homo sapiens (Human)	371
P78332	ENSP00000266022	ENSP00000266022 -> P78332-1	RBM6_HUMAN	reviewed	Homo sapiens (Human)	1123
Q12893	ENSP00000266025		TM115_HUMAN	reviewed	Homo sapiens (Human)	351
Q12794	ENSP00000266031	ENSP00000266031 -> Q12794-1	HYAL1_HUMAN	reviewed	Homo sapiens (Human)	435
Q8IZD9	ENSP00000266037		DOCK3_HUMAN	reviewed	Homo sapiens (Human)	2030
Q14624	ENSP00000266041	ENSP00000266041 -> Q14624-1	ITIH4_HUMAN	reviewed	Homo sapiens (Human)	930
O75093	ENSP00000266058	ENSP00000266058 -> O75093-1	SLIT1_HUMAN	reviewed	Homo sapiens (Human)	1534
Q5T4F7	ENSP00000266066		SFRP5_HUMAN	reviewed	Homo sapiens (Human)	317
Q9UKD1	ENSP00000266068		GMEB2_HUMAN	reviewed	Homo sapiens (Human)	530
Q9NWU2	ENSP00000266069		GID8_HUMAN	reviewed	Homo sapiens (Human)	228
Q9BTC0	ENSP00000266070	ENSP00000266070 -> Q9BTC0-4	DIDO1_HUMAN	reviewed	Homo sapiens (Human)	2240
Q9NR83	ENSP00000266077	ENSP00000266077 -> Q9NR83-1	S2A4R_HUMAN	reviewed	Homo sapiens (Human)	387
O94906	ENSP00000266079	ENSP00000266079 -> O94906-1	PRP6_HUMAN	reviewed	Homo sapiens (Human)	941
P35625	ENSP00000266085		TIMP3_HUMAN	reviewed	Homo sapiens (Human)	211
Q9NY91	ENSP00000266086		SC5A4_HUMAN	reviewed	Homo sapiens (Human)	659
Q9Y3I1	ENSP00000266087	ENSP00000266087 -> Q9Y3I1-1	FBX7_HUMAN	reviewed	Homo sapiens (Human)	522
P13866	ENSP00000266088	ENSP00000266088 -> P13866-1	SC5A1_HUMAN	reviewed	Homo sapiens (Human)	664
P49770	ENSP00000266126		EI2BB_HUMAN	reviewed	Homo sapiens (Human)	351
O95922	ENSP00000266254	ENSP00000266254 -> O95922-1	TTLL1_HUMAN	reviewed	Homo sapiens (Human)	423
Q9UDX5	ENSP00000266263	ENSP00000266263 -> Q9UDX5-1	MTFP1_HUMAN	reviewed	Homo sapiens (Human)	166
Q9HBE1	ENSP00000266269	ENSP00000266269 -> Q9HBE1-1	PATZ1_HUMAN	reviewed	Homo sapiens (Human)	687
Q10587	ENSP00000266304	ENSP00000266304 -> Q10587-1	TEF_HUMAN	reviewed	Homo sapiens (Human)	303
Q13936	ENSP00000266376	ENSP00000266376 -> Q13936-11	CAC1C_HUMAN	reviewed	Homo sapiens (Human)	2221
Q6L9W6	ENSP00000266383		B4GN3_HUMAN	reviewed	Homo sapiens (Human)	998
Q13956	ENSP00000266395		CNCG_HUMAN	reviewed	Homo sapiens (Human)	83
Q96DN0	ENSP00000266397		ERP27_HUMAN	reviewed	Homo sapiens (Human)	273
Q9H0R8	ENSP00000266458	ENSP00000266458 -> Q9H0R8-1	GBRL1_HUMAN	reviewed	Homo sapiens (Human)	117
Q5BKT4	ENSP00000266483		AG10A_HUMAN	reviewed	Homo sapiens (Human)	473
Q8WYA1	ENSP00000266503	ENSP00000266503 -> Q8WYA1-1	BMAL2_HUMAN	reviewed	Homo sapiens (Human)	636
Q86YW0	ENSP00000266505	ENSP00000266505 -> Q86YW0-1	PLCZ1_HUMAN	reviewed	Homo sapiens (Human)	608
Q8TBF4	ENSP00000266529		ZCRB1_HUMAN	reviewed	Homo sapiens (Human)	217
Q9H0C3	ENSP00000266534		TM117_HUMAN	reviewed	Homo sapiens (Human)	514
Q9NZP8	ENSP00000266542		C1RL_HUMAN	reviewed	Homo sapiens (Human)	487
Q16795	ENSP00000266544		NDUA9_HUMAN	reviewed	Homo sapiens (Human)	377
Q9BQT9	ENSP00000266546	ENSP00000266546 -> Q9BQT9-1	CSTN3_HUMAN	reviewed	Homo sapiens (Human)	956
Q9BX59	ENSP00000266556	ENSP00000266556 -> Q9BX59-1	TPSNR_HUMAN	reviewed	Homo sapiens (Human)	468
P26842	ENSP00000266557		CD27_HUMAN	reviewed	Homo sapiens (Human)	260
P82980	ENSP00000266560		RET5_HUMAN	reviewed	Homo sapiens (Human)	135
Q86SJ2	ENSP00000266581		AMGO2_HUMAN	reviewed	Homo sapiens (Human)	522
O95626	ENSP00000266594		AN32D_HUMAN	reviewed	Homo sapiens (Human)	131
Q9BRT6	ENSP00000266604		LLPH_HUMAN	reviewed	Homo sapiens (Human)	129
Q86YJ5	ENSP00000266643	ENSP00000266643 -> Q86YJ5-1	MARH9_HUMAN	reviewed	Homo sapiens (Human)	346
P58166	ENSP00000266646		INHBE_HUMAN	reviewed	Homo sapiens (Human)	350
P48060	ENSP00000266659	ENSP00000266659 -> P48060-1	GLIP1_HUMAN	reviewed	Homo sapiens (Human)	266
Q8WV24	ENSP00000266671		PHLA1_HUMAN	reviewed	Homo sapiens (Human)	401
Q96HH6	ENSP00000266673	ENSP00000266673 -> Q96HH6-1	TMM19_HUMAN	reviewed	Homo sapiens (Human)	336
O75473	ENSP00000266674	ENSP00000266674 -> O75473-1	LGR5_HUMAN	reviewed	Homo sapiens (Human)	907
Q16630	ENSP00000266679	ENSP00000266679 -> Q16630-2	CPSF6_HUMAN	reviewed	Homo sapiens (Human)	551
Q9H2J7	ENSP00000266682	ENSP00000266682 -> Q9H2J7-1	S6A15_HUMAN	reviewed	Homo sapiens (Human)	730
Q6ZXV5	ENSP00000266712	ENSP00000266712 -> Q6ZXV5-2	TMTC3_HUMAN	reviewed	Homo sapiens (Human)	915
P51884	ENSP00000266718		LUM_HUMAN	reviewed	Homo sapiens (Human)	338
O60938	ENSP00000266719		KERA_HUMAN	reviewed	Homo sapiens (Human)	352
P42166	ENSP00000266732	ENSP00000266732 -> P42166-1	LAP2A_HUMAN	reviewed	Homo sapiens (Human)	694
P62306	ENSP00000266735		RUXF_HUMAN	reviewed	Homo sapiens (Human)	86
Q96NU7	ENSP00000266736		HUTI_HUMAN	reviewed	Homo sapiens (Human)	426
P50553	ENSP00000266744		ASCL1_HUMAN	reviewed	Homo sapiens (Human)	236
Q8N697	ENSP00000266771	ENSP00000266771 -> Q8N697-1	S15A4_HUMAN	reviewed	Homo sapiens (Human)	577
P24941	ENSP00000266970	ENSP00000266970 -> P24941-1	CDK2_HUMAN	reviewed	Homo sapiens (Human)	298
Q6ZMH5	ENSP00000266980		S39A5_HUMAN	reviewed	Homo sapiens (Human)	540
Q15633	ENSP00000266987	ENSP00000266987 -> Q15633-1	TRBP2_HUMAN	reviewed	Homo sapiens (Human)	366
O15130	ENSP00000267017	ENSP00000267017 -> O15130-1	NPFF_HUMAN	reviewed	Homo sapiens (Human)	113
Q8TAQ2	ENSP00000267064	ENSP00000267064 -> Q8TAQ2-1	SMRC2_HUMAN	reviewed	Homo sapiens (Human)	1214
P26010	ENSP00000267082	ENSP00000267082 -> P26010-1	ITB7_HUMAN	reviewed	Homo sapiens (Human)	798
Q9Y600	ENSP00000267085	ENSP00000267085 -> Q9Y600-3	CSAD_HUMAN	reviewed	Homo sapiens (Human)	493
P21860	ENSP00000267101	ENSP00000267101 -> P21860-1	ERBB3_HUMAN	reviewed	Homo sapiens (Human)	1342
Q6UX01	ENSP00000267102	ENSP00000267102 -> Q6UX01-1	LMBRL_HUMAN	reviewed	Homo sapiens (Human)	489
Q9HB07	ENSP00000267103		MYG1_HUMAN	reviewed	Homo sapiens (Human)	376
Q9BSJ8	ENSP00000267113	ENSP00000267113 -> Q9BSJ8-2	ESYT1_HUMAN	reviewed	Homo sapiens (Human)	1104
Q8NB46	ENSP00000267116		ANR52_HUMAN	reviewed	Homo sapiens (Human)	1076
Q3SY84	ENSP00000267119		K2C71_HUMAN	reviewed	Homo sapiens (Human)	523
P06400	ENSP00000267163		RB_HUMAN	reviewed	Homo sapiens (Human)	928
Q96AX1	ENSP00000267199		VP33A_HUMAN	reviewed	Homo sapiens (Human)	596
Q9H9H4	ENSP00000267202		VP37B_HUMAN	reviewed	Homo sapiens (Human)	285
Q9HBH0	ENSP00000267205	ENSP00000267205 -> Q9HBH0-1	RHOF_HUMAN	reviewed	Homo sapiens (Human)	211
P49023	ENSP00000267257	ENSP00000267257 -> P49023-3	PAXI_HUMAN	reviewed	Homo sapiens (Human)	591
A7MD48	ENSP00000267260		SRRM4_HUMAN	reviewed	Homo sapiens (Human)	611
Q5VZV1	ENSP00000267273		MT21C_HUMAN	reviewed	Homo sapiens (Human)	264
Q5VZF2	ENSP00000267287	ENSP00000267287 -> Q5VZF2-2	MBNL2_HUMAN	reviewed	Homo sapiens (Human)	373
Q8IZP6	ENSP00000267291		R113B_HUMAN	reviewed	Homo sapiens (Human)	322
Q96T25	ENSP00000267294		ZIC5_HUMAN	reviewed	Homo sapiens (Human)	663
Q9NX57	ENSP00000267328		RAB20_HUMAN	reviewed	Homo sapiens (Human)	234
Q9NXR5	ENSP00000267339	ENSP00000267339 -> Q9NXR5-1	ANR10_HUMAN	reviewed	Homo sapiens (Human)	420
P30872	ENSP00000267377		SSR1_HUMAN	reviewed	Homo sapiens (Human)	391
Q8IYK8	ENSP00000267396	ENSP00000267396 -> Q8IYK8-1	REM2_HUMAN	reviewed	Homo sapiens (Human)	340
Q6UW01	ENSP00000267406		CBLN3_HUMAN	reviewed	Homo sapiens (Human)	205
Q9BSI4	ENSP00000267415	ENSP00000267415 -> Q9BSI4-1	TINF2_HUMAN	reviewed	Homo sapiens (Human)	451
Q86U38	ENSP00000267425	ENSP00000267425 -> Q86U38-1	NOP9_HUMAN	reviewed	Homo sapiens (Human)	636
A5D6W6	ENSP00000267426	ENSP00000267426 -> A5D6W6-1	FITM1_HUMAN	reviewed	Homo sapiens (Human)	292
Q8IYD8	ENSP00000267430	ENSP00000267430 -> Q8IYD8-1	FANCM_HUMAN	reviewed	Homo sapiens (Human)	2048
Q9H9P8	ENSP00000267436	ENSP00000267436 -> Q9H9P8-1	L2HDH_HUMAN	reviewed	Homo sapiens (Human)	463
Q9HAT8	ENSP00000267460		PELI2_HUMAN	reviewed	Homo sapiens (Human)	420
Q16799	ENSP00000267484	ENSP00000267484 -> Q16799-1	RTN1_HUMAN	reviewed	Homo sapiens (Human)	776
Q86TY3	ENSP00000267485	ENSP00000267485 -> Q86TY3-1	ARMD4_HUMAN	reviewed	Homo sapiens (Human)	774
P59190	ENSP00000267512	ENSP00000267512 -> P59190-2	RAB15_HUMAN	reviewed	Homo sapiens (Human)	212
Q8IYL9	ENSP00000267549		PSYR_HUMAN	reviewed	Homo sapiens (Human)	337
Q8WYK2	ENSP00000267569	ENSP00000267569 -> Q8WYK2-2	JDP2_HUMAN	reviewed	Homo sapiens (Human)	163
Q96M32	ENSP00000267584		KAD7_HUMAN	reviewed	Homo sapiens (Human)	723
Q8N9Y4	ENSP00000267594	ENSP00000267594 -> Q8N9Y4-1	F181A_HUMAN	reviewed	Homo sapiens (Human)	354
Q13572	ENSP00000267615	ENSP00000267615 -> Q13572-1	ITPK1_HUMAN	reviewed	Homo sapiens (Human)	414
Q15643	ENSP00000267622	ENSP00000267622 -> Q15643-1	TRIPB_HUMAN	reviewed	Homo sapiens (Human)	1979
Q5J8M3	ENSP00000267750	ENSP00000267750 -> Q5J8M3-1	EMC4_HUMAN	reviewed	Homo sapiens (Human)	183
Q1HG43	ENSP00000267803	ENSP00000267803 -> Q1HG43-2	DOXA1_HUMAN	reviewed	Homo sapiens (Human)	343
Q6N043	ENSP00000267807	ENSP00000267807 -> Q6N043-1	Z280D_HUMAN	reviewed	Homo sapiens (Human)	979
P55081	ENSP00000267812		MFAP1_HUMAN	reviewed	Homo sapiens (Human)	439
Q00796	ENSP00000267814	ENSP00000267814 -> Q00796-1	DHSO_HUMAN	reviewed	Homo sapiens (Human)	357
Q8IV50	ENSP00000267838	ENSP00000267838 -> Q8IV50-1	LYSM2_HUMAN	reviewed	Homo sapiens (Human)	215
O14975	ENSP00000267842	ENSP00000267842 -> O14975-1	S27A2_HUMAN	reviewed	Homo sapiens (Human)	620
P21781	ENSP00000267843	ENSP00000267843 -> P21781-1	FGF7_HUMAN	reviewed	Homo sapiens (Human)	194
P19113	ENSP00000267845	ENSP00000267845 -> P19113-1	DCHS_HUMAN	reviewed	Homo sapiens (Human)	662
P0CAP1	ENSP00000267853	ENSP00000267853 -> P0CAP1-1	MYZAP_HUMAN	reviewed	Homo sapiens (Human)	466
J3KN59	ENSP00000267859		J3KN59_HUMAN	unreviewed	Homo sapiens (Human)	435
P37108	ENSP00000267884		SRP14_HUMAN	reviewed	Homo sapiens (Human)	136
A7MBM2	ENSP00000267889		DISP2_HUMAN	reviewed	Homo sapiens (Human)	1401
Q6IQ55	ENSP00000267890	ENSP00000267890 -> Q6IQ55-1	TTBK2_HUMAN	reviewed	Homo sapiens (Human)	1244
Q9H0A8	ENSP00000267935	ENSP00000267935 -> Q9H0A8-1	COMD4_HUMAN	reviewed	Homo sapiens (Human)	199
Q8WVN8	ENSP00000267938	ENSP00000267938 -> Q8WVN8-1	UB2Q2_HUMAN	reviewed	Homo sapiens (Human)	375
Q16548	ENSP00000267953	ENSP00000267953 -> Q16548-1	B2LA1_HUMAN	reviewed	Homo sapiens (Human)	175
O60637	ENSP00000267970	ENSP00000267970 -> O60637-1	TSN3_HUMAN	reviewed	Homo sapiens (Human)	253
Q9GZS3	ENSP00000267973		WDR61_HUMAN	reviewed	Homo sapiens (Human)	305
Q9H1K6	ENSP00000267984		TLRN1_HUMAN	reviewed	Homo sapiens (Human)	362
Q8NCT1	ENSP00000268042		ARRD4_HUMAN	reviewed	Homo sapiens (Human)	418
P05108	ENSP00000268053	ENSP00000268053 -> P05108-1	CP11A_HUMAN	reviewed	Homo sapiens (Human)	521
Q96RK4	ENSP00000268057	ENSP00000268057 -> Q96RK4-1	BBS4_HUMAN	reviewed	Homo sapiens (Human)	519
P29590	ENSP00000268058	ENSP00000268058 -> P29590-1	PML_HUMAN	reviewed	Homo sapiens (Human)	882
Q8TE56	ENSP00000268070	ENSP00000268070 -> Q8TE56-1	ATS17_HUMAN	reviewed	Homo sapiens (Human)	1095
P06865	ENSP00000268097	ENSP00000268097 -> P06865-1	HEXA_HUMAN	reviewed	Homo sapiens (Human)	529
O15127	ENSP00000268099		SCAM2_HUMAN	reviewed	Homo sapiens (Human)	329
Q9UBD6	ENSP00000268122		RHCG_HUMAN	reviewed	Homo sapiens (Human)	479
P54098	ENSP00000268124		DPOG1_HUMAN	reviewed	Homo sapiens (Human)	1239
P12271	ENSP00000268125		RLBP1_HUMAN	reviewed	Homo sapiens (Human)	317
P08910	ENSP00000268129		ABHD2_HUMAN	reviewed	Homo sapiens (Human)	425
Q6P2C0	ENSP00000268130	ENSP00000268130 -> Q6P2C0-1	WDR93_HUMAN	reviewed	Homo sapiens (Human)	686
Q7Z2Z1	ENSP00000268138	ENSP00000268138 -> Q7Z2Z1-1	TICRR_HUMAN	reviewed	Homo sapiens (Human)	1910
Q08431	ENSP00000268150	ENSP00000268150 -> Q08431-1	MFGM_HUMAN	reviewed	Homo sapiens (Human)	387
Q8N1W2	ENSP00000268154		ZN710_HUMAN	reviewed	Homo sapiens (Human)	664
Q92186	ENSP00000268164		SIA8B_HUMAN	reviewed	Homo sapiens (Human)	375
P46940	ENSP00000268182		IQGA1_HUMAN	reviewed	Homo sapiens (Human)	1657
Q6UUV7	ENSP00000268184	ENSP00000268184 -> Q6UUV7-1	CRTC3_HUMAN	reviewed	Homo sapiens (Human)	619
Q7Z2Z2	ENSP00000268206	ENSP00000268206 -> Q7Z2Z2-1	EFL1_HUMAN	reviewed	Homo sapiens (Human)	1120
Q8IYM1	ENSP00000268231	ENSP00000268231 -> Q8IYM1-1	SEP12_HUMAN	reviewed	Homo sapiens (Human)	358
O15305	ENSP00000268261	ENSP00000268261 -> O15305-1	PMM2_HUMAN	reviewed	Homo sapiens (Human)	246
Q5K4E3	ENSP00000268281	ENSP00000268281 -> Q5K4E3-1	POLS2_HUMAN	reviewed	Homo sapiens (Human)	855
P22695	ENSP00000268379		QCR2_HUMAN	reviewed	Homo sapiens (Human)	453
Q01850	ENSP00000268383		CDR2_HUMAN	reviewed	Homo sapiens (Human)	454
O95976	ENSP00000268389		IGSF6_HUMAN	reviewed	Homo sapiens (Human)	241
Q969G9	ENSP00000268459		NKD1_HUMAN	reviewed	Homo sapiens (Human)	470
Q92620	ENSP00000268482	ENSP00000268482 -> Q92620-1	PRP16_HUMAN	reviewed	Homo sapiens (Human)	1227
Q9NX01	ENSP00000268483		TXN4B_HUMAN	reviewed	Homo sapiens (Human)	149
Q15911	ENSP00000268489	ENSP00000268489 -> Q15911-1	ZFHX3_HUMAN	reviewed	Homo sapiens (Human)	3703
P0C024	ENSP00000268533	ENSP00000268533 -> P0C024-1	NUDT7_HUMAN	reviewed	Homo sapiens (Human)	238
Q8TAZ6	ENSP00000268595	ENSP00000268595 -> Q8TAZ6-1	CKLF2_HUMAN	reviewed	Homo sapiens (Human)	248
P55287	ENSP00000268603	ENSP00000268603 -> P55287-1	CAD11_HUMAN	reviewed	Homo sapiens (Human)	796
Q9GZQ8	ENSP00000268607		MLP3B_HUMAN	reviewed	Homo sapiens (Human)	125
P55290	ENSP00000268613	ENSP00000268613 -> P55290-4	CAD13_HUMAN	reviewed	Homo sapiens (Human)	713
Q8WYQ9	ENSP00000268616	ENSP00000268616 -> Q8WYQ9-1	ZCH14_HUMAN	reviewed	Homo sapiens (Human)	949
Q8NCV1	ENSP00000268624	ENSP00000268624 -> Q8NCV1-2	ADAD2_HUMAN	reviewed	Homo sapiens (Human)	583
Q02556	ENSP00000268638		IRF8_HUMAN	reviewed	Homo sapiens (Human)	426
Q15697	ENSP00000268655	ENSP00000268655 -> Q15697-1	ZN174_HUMAN	reviewed	Homo sapiens (Human)	407
Q92901	ENSP00000268661		RL3L_HUMAN	reviewed	Homo sapiens (Human)	407
O96000	ENSP00000268668	ENSP00000268668 -> O96000-1	NDUBA_HUMAN	reviewed	Homo sapiens (Human)	172
Q6ZN54	ENSP00000268676	ENSP00000268676 -> Q6ZN54-1	DEFI8_HUMAN	reviewed	Homo sapiens (Human)	512
O75081	ENSP00000268679	ENSP00000268679 -> O75081-1	MTG16_HUMAN	reviewed	Homo sapiens (Human)	653
P34059	ENSP00000268695		GALNS_HUMAN	reviewed	Homo sapiens (Human)	522
O95995	ENSP00000268699	ENSP00000268699 -> O95995-1	DRC4_HUMAN	reviewed	Homo sapiens (Human)	478
A0A2U3TZH1	ENSP00000268704		A0A2U3TZH1_HUMAN	unreviewed	Homo sapiens (Human)	788
Q9NWA0	ENSP00000268711		MED9_HUMAN	reviewed	Homo sapiens (Human)	146
O75376	ENSP00000268712	ENSP00000268712 -> O75376-1	NCOR1_HUMAN	reviewed	Homo sapiens (Human)	2440
Q9UNS2	ENSP00000268717	ENSP00000268717 -> Q9UNS2-1	CSN3_HUMAN	reviewed	Homo sapiens (Human)	423
Q8IVV7	ENSP00000268719		GID4_HUMAN	reviewed	Homo sapiens (Human)	300
